,0
0,1304863.5
1,771646.0
2,1224827.5
3,467775.61641414143
4,1657011.01
5,861312.0
6,1187307.5
7,532817.303968254
8,1308349.5
9,827030.0
10,863165.5
11,1035224.0
12,923510.0
13,656393.75
14,1728445.5
15,1059304.7
16,1204290.5
17,794469.75
18,1431253.5
19,946603.0
20,773971.5
21,631777.0
22,816821.25
23,852557.6
24,760383.884
25,2148408.0
26,1175103.481
27,1004003.5
28,1065536.5
29,732966.0083333334
30,581339.9928571429
31,731618.6083333334
32,468150.29178571416
33,1296278.5
34,1633540.0
35,785043.7
36,697516.25
37,1082308.45
38,902398.0
39,1657301.5
40,887915.5
41,1754951.5
42,910391.0
43,2044260.208
44,1057274.6
45,3622620.0
46,1930423.156
47,1455411.5
48,764877.0
49,1227077.1
50,1107018.4
51,1183647.0
52,1300621.5
53,2053429.3
54,2017685.1666666663
55,2193942.5
56,1806334.0
57,724494.5
58,3147290.46
59,567714.6238095238
60,1029587.0
61,2252342.0
62,2490376.7
63,685888.0
64,1542669.5
65,1829994.0
66,1926831.5
67,3392232.984
68,2282331.0
69,2360240.9
70,2539540.8
71,2100574.5
72,1793575.3333333333
73,2233288.880952381
74,1728961.9
75,1580404.5
76,3033113.776
77,1979718.9
78,1021255.5
79,813206.0
80,1288028.0
81,1177986.5
82,786572.5
83,884863.52
84,595582.5166666667
85,1321856.5
86,1251659.5
87,2006839.0
88,1331834.998
89,736357.26
90,1160241.5
91,894020.5
92,583696.5
93,1051650.0
94,1121702.5
95,1094929.4
96,1067690.0833333335
97,1300447.5
98,1130604.5
99,1343590.5
100,1335984.25
101,896115.0
102,1380467.0
103,855064.5
104,2348174.5
105,1162314.6
106,636844.0
107,1066805.2
108,1330575.2
109,775774.5
110,2380246.2
111,1468110.0
112,1221139.0
113,543614.0190476192
114,1202110.6
115,1868955.0
116,2717531.868
117,3315728.0
118,610872.4166666666
119,2064388.5
120,2564550.0
121,2461939.7
122,2047056.0
123,1705734.3333333333
124,1683317.5
125,1771323.5
126,1698197.4999999998
127,2043931.8
128,1935090.0
129,2035785.0
130,2484260.4
131,2063429.3
132,455130.8357142858
133,503415.8291666666
134,1398548.0
135,737699.5
136,471246.54880952387
137,819158.5
138,421813.66666666674
139,620158.5380952379
140,818223.1666666666
141,510354.28095238097
142,1665569.3
143,467274.15625541116
144,819494.5
145,539466.6833333333
146,1085792.0
147,932288.0
148,1285929.0
149,497344.8916666666
150,840057.0
151,342917.605952381
152,843367.5
